id,order_id,payment_method,amount
1,1,coupon,1500
2,2,credit_card,2000
3,3,credit_card,2000
4,4,coupon,2000
5,5,credit_card,1500
6,6,coupon,0
7,6,bank_transfer,0
8,7,credit_card,1250
9,7,credit_card,1250
10,8,bank_transfer,2250
11,9,coupon,2250
12,10,coupon,0
13,10,credit_card,0
14,11,coupon,0
15,12,credit_card,0
16,13,credit_card,2250
17,14,coupon,1500
18,15,credit_card,3000
19,16,coupon,2250
20,17,credit_card,0
21,18,coupon,0
22,19,bank_transfer,0
23,20,gift_card,1000
24,21,credit_card,2250
25,22,credit_card,0
26,23,coupon,2000
27,24,credit_card,750
28,24,gift_card,750
29,25,bank_transfer,1300
30,25,credit_card,1300
31,26,credit_card,1700
32,27,gift_card,1500
33,27,credit_card,1500
34,28,bank_transfer,0
35,29,credit_card,1500
36,30,credit_card,3000
37,31,coupon,1000
38,32,gift_card,0
39,33,coupon,2250
40,34,gift_card,3000
41,35,credit_card,2000
42,36,credit_card,2250
43,37,gift_card,2600
44,38,credit_card,3000
45,39,coupon,0
46,39,credit_card,0
47,40,credit_card,1000
48,41,credit_card,1000
49,42,credit_card,2250
50,43,gift_card,1500
51,44,coupon,2000
52,45,bank_transfer,2500
53,46,coupon,1000
54,47,coupon,1000
55,48,bank_transfer,3000
56,49,credit_card,1000
57,50,credit_card,0
58,51,coupon,2250
59,52,credit_card,2000
60,53,bank_transfer,2250
61,54,credit_card,0
62,55,credit_card,500
63,55,gift_card,500
64,56,credit_card,1000
65,57,credit_card,1700
66,58,gift_card,850
67,58,credit_card,850
68,59,credit_card,1000
69,59,bank_transfer,1000
70,60,credit_card,1000
71,61,credit_card,1700
72,62,gift_card,2500
73,63,credit_card,2250
74,64,bank_transfer,2600
75,65,bank_transfer,2250
76,66,bank_transfer,2600
77,67,credit_card,3000
78,68,credit_card,1000
79,68,coupon,1000
80,69,credit_card,1500
81,70,credit_card,2000
82,71,gift_card,2500
83,72,credit_card,1000
84,72,coupon,1000
85,73,coupon,1500
86,74,credit_card,2000
87,75,bank_transfer,1500
88,76,coupon,2250
89,77,credit_card,3000
90,78,coupon,1500
91,79,coupon,2600
92,80,gift_card,2000
93,81,coupon,2500
94,82,credit_card,1700
95,83,gift_card,0
96,84,credit_card,0
97,85,credit_card,2250
98,86,gift_card,2250
99,87,bank_transfer,1700
100,88,bank_transfer,2600
101,89,gift_card,2000
102,90,bank_transfer,1500
103,91,credit_card,2500
104,92,credit_card,1700
105,93,gift_card,1500
